Tipo_cultivo;Año;Id_municipio;Municipio;Id_cultivo;Cultivo;Ciclo;Hectareas_sembradas;Hectareas_cosechadas;Produccion_toneladas;Rendimiento_toneladas/hectareas
Cultivos Tropicales Tradicionales;2000;76001;Cali;2030300;Café;Anual;850.0;785.0;864.0;1.1
Cultivos Tropicales Tradicionales;2000;76020;Alcalá;2030300;Café;Anual;2183.4;1883.51;2217.0;1.18
Cultivos Tropicales Tradicionales;2000;76036;Andalucía;2030300;Café;Anual;361.6;361.6;325.0;0.9
Cultivos Tropicales Tradicionales;2000;76041;Ansermanuevo;2030300;Café;Anual;5621.0;4574.0;6266.0;1.37
Cultivos Tropicales Tradicionales;2000;76054;Argelia;2030300;Café;Anual;3479.2;3188.51;4145.0;1.3
Cultivos Tropicales Tradicionales;2000;76100;Bolívar;2030300;Café;Anual;2528.1;2010.8;2212.0;1.1
Cultivos Tropicales Tradicionales;2000;76111;Buga;2030300;Café;Anual;941.0;934.3;1168.0;1.25
Cultivos Tropicales Tradicionales;2000;76113;Bugalagrande;2030300;Café;Anual;1864.23;1640.23;1722.0;1.05
Cultivos Tropicales Tradicionales;2000;76122;Caicedonia;2030300;Café;Anual;6787.0;5623.0;6185.0;1.1
Cultivos Tropicales Tradicionales;2000;76147;Cartago;2030300;Café;Anual;1301.0;1301.0;1431.0;1.1
Cultivos Tropicales Tradicionales;2000;76233;Dagua;2030300;Café;Anual;2061.0;1961.0;1863.0;0.95
Cultivos Tropicales Tradicionales;2000;76126;Calima Darién;2030300;Café;Anual;959.8;809.8;810.0;1.0
Cultivos Tropicales Tradicionales;2000;76243;El Águila;2030300;Café;Anual;6740.7;4310.7;7328.0;1.7
Cultivos Tropicales Tradicionales;2000;76246;El Cairo;2030300;Café;Anual;4885.0;4510.0;2345.0;0.52
Cultivos Tropicales Tradicionales;2000;76248;El Cerrito;2030300;Café;Anual;228.0;228.0;228.0;1.0
Cultivos Tropicales Tradicionales;2000;76250;El Dovio;2030300;Café;Anual;1727.12;1655.31;1490.0;0.9
Cultivos Tropicales Tradicionales;2000;76275;Florida;2030300;Café;Anual;1200.0;1150.0;1277.0;1.11
Cultivos Tropicales Tradicionales;2000;76306;Ginebra;2030300;Café;Anual;1070.4;1070.4;888.0;0.83
Cultivos Tropicales Tradicionales;2000;76318;Guacarí;2030300;Café;Anual;743.5;639.0;559.0;0.87
Cultivos Tropicales Tradicionales;2000;76364;Jamundí;2030300;Café;Anual;1542.9;1535.8;1812.0;1.18
Cultivos Tropicales Tradicionales;2000;76377;La Cumbre;2030300;Café;Anual;1309.8;1245.4;1158.0;0.93
Cultivos Tropicales Tradicionales;2000;76400;La Unión;2030300;Café;Anual;887.8;805.86;654.0;0.81
Cultivos Tropicales Tradicionales;2000;76403;La Victoria;2030300;Café;Anual;1062.0;1062.0;1274.0;1.2
Cultivos Tropicales Tradicionales;2000;76497;Obando;2030300;Café;Anual;1706.18;1644.33;1315.0;0.8
Cultivos Tropicales Tradicionales;2000;76520;Palmira;2030300;Café;Anual;435.0;435.0;435.0;1.0
Cultivos Tropicales Tradicionales;2000;76563;Pradera;2030300;Café;Anual;410.6;410.0;488.0;1.19
Cultivos Tropicales Tradicionales;2000;76606;Restrepo;2030300;Café;Anual;1705.2;1551.76;2793.0;1.8
Cultivos Tropicales Tradicionales;2000;76616;Riofrío;2030300;Café;Anual;4177.9;3646.0;5834.0;1.6
Cultivos Tropicales Tradicionales;2000;76622;Roldanillo;2030300;Café;Anual;1449.0;1335.0;1602.0;1.2
Cultivos Tropicales Tradicionales;2000;76670;San Pedro;2030300;Café;Anual;624.2;587.2;470.0;0.8
Cultivos Tropicales Tradicionales;2000;76736;Sevilla;2030300;Café;Anual;8432.0;6285.0;7542.0;1.2
Cultivos Tropicales Tradicionales;2000;76823;Toro;2030300;Café;Anual;2149.0;2149.0;2407.0;1.12
Cultivos Tropicales Tradicionales;2000;76828;Trujillo;2030300;Café;Anual;5105.2;5105.2;7147.0;1.4
Cultivos Tropicales Tradicionales;2000;76834;Tuluá;2030300;Café;Anual;3880.0;3824.2;4971.0;1.3
Cultivos Tropicales Tradicionales;2000;76845;Ulloa;2030300;Café;Anual;1422.32;1397.76;2264.0;1.62
Cultivos Tropicales Tradicionales;2000;76863;Versalles;2030300;Café;Anual;2091.7;1996.0;798.0;0.4
Cultivos Tropicales Tradicionales;2000;76869;Vijes;2030300;Café;Anual;877.3;862.5;776.0;0.9
Cultivos Tropicales Tradicionales;2000;76890;Yotoco;2030300;Café;Anual;1829.0;1564.5;1565.0;1.0
Cultivos Tropicales Tradicionales;2000;76892;Yumbo;2030300;Café;Anual;709.1;667.86;548.0;0.82
Cultivos Tropicales Tradicionales;2001;76001;Cali;2030300;Café;Anual;873.24;828.99;746.0;0.9
Cultivos Tropicales Tradicionales;2001;76020;Alcalá;2030300;Café;Anual;2156.92;1975.18;2232.0;1.13
Cultivos Tropicales Tradicionales;2001;76036;Andalucía;2030300;Café;Anual;346.0;346.0;311.0;0.9
Cultivos Tropicales Tradicionales;2001;76041;Ansermanuevo;2030300;Café;Anual;6499.3;5621.0;5621.0;1.0
Cultivos Tropicales Tradicionales;2001;76054;Argelia;2030300;Café;Anual;3479.2;3188.5;4145.0;1.3
Cultivos Tropicales Tradicionales;2001;76100;Bolívar;2030300;Café;Anual;2528.0;2364.66;1241.0;0.52
Cultivos Tropicales Tradicionales;2001;76111;Buga;2030300;Café;Anual;936.0;911.0;1139.0;1.25
Cultivos Tropicales Tradicionales;2001;76113;Bugalagrande;2030300;Café;Anual;2488.0;1768.31;1547.0;0.87
Cultivos Tropicales Tradicionales;2001;76122;Caicedonia;2030300;Café;Anual;6690.3;5733.75;6307.0;1.1
Cultivos Tropicales Tradicionales;2001;76147;Cartago;2030300;Café;Anual;1326.7;1268.5;581.0;0.46
Cultivos Tropicales Tradicionales;2001;76233;Dagua;2030300;Café;Anual;2070.34;1993.69;937.0;0.47
Cultivos Tropicales Tradicionales;2001;76126;Calima Darién;2030300;Café;Anual;803.65;759.5;608.0;0.8
Cultivos Tropicales Tradicionales;2001;76243;El Águila;2030300;Café;Anual;6743.3;6460.95;7672.0;1.19
Cultivos Tropicales Tradicionales;2001;76246;El Cairo;2030300;Café;Anual;4895.0;4745.8;4414.0;0.93
Cultivos Tropicales Tradicionales;2001;76248;El Cerrito;2030300;Café;Anual;218.8;218.8;219.0;1.0
Cultivos Tropicales Tradicionales;2001;76250;El Dovio;2030300;Café;Anual;1729.51;1697.04;1244.0;0.73
Cultivos Tropicales Tradicionales;2001;76275;Florida;2030300;Café;Anual;1070.24;1053.44;843.0;0.8
Cultivos Tropicales Tradicionales;2001;76306;Ginebra;2030300;Café;Anual;1071.83;1022.55;854.0;0.84
